Банникс;Аликс Кюбдэль;Зонт бенникс;Зонт - оружие Банникс. Оружие Банникс — это зонт с белой ручкой и черной полосой на самом краю с синим пятном. Снаружи зонта находится белый купол, а внутри — белый изогнутый пятиугольник. Остальная часть покрыта голубым цветом. Он может быть использован, как меч в закрытом виде или как щит в открытом виде.;https://static.wikia.nocookie.net/ladybug/images/d/d2/Rabbit_Miraculous%27_Umbrella_Square.png/revision/latest?cb=20201018075116&path-prefix=ru;";"
Бражник/Теневой Бражник;Габриэль Агрест;Трость Бражника;"Оружие Бражника - трость. Она собирает акум, которые не были очищены благодаря йо-йо Ледибаг. Неочищенная акума возвращается в трость, и Бражник даёт жертве второй шанс. Акума возвращается в трость после копирования. 

Есть ещё одна способность трости: Бражник может её использовать, как клинок для ближнего боя. Клинок спрятан в трости которая используется как ножны. Сама трость длинная, чёрная, на конце - тёмно-фиолетовый сферический набалдашник с тонкими чёрными линиями. В ней есть тайник, где находится сабля.";https://static.diary.ru/userdir/3/4/2/5/3425191/84910857.jpg;";"
Вайперион;Лука Куффен;Лира Вайпериона;"Оружие Вайпериона - Лира. Инструмент представляет собой арфу или лиру, имеющую мятно-зеленое тело и около пяти светло-зеленых струн, идущих по его середине. Корпус инструмента также имеет алмазный узор по краям, алмазы светло-зеленого цвета с черными краями. 

Музыка, исполняемая на лире, может быть использована для отвлечения врагов, предоставляя по возможности нанести удар. В ближнем бою он может использоваться для связывания рук человека между струнами и может быть брошен, чтобы действовать как оружие дальнего действия.";https://i.pinimg.com/564x/67/be/8e/67be8e80cc5b1df917408423eb31309e.jpg;";"
Карапас;Нино Лейф;Щит Карапаса;Оружие Карапаса - Щит. Щит внешне похож на панцирь черепахи. Он большой и круглый, и кажется довольно плоским. Одна сторона оружия темно-зеленая, в то время как другая светло-зеленая с отступами, идущими от края в центр. Щит может защитить владельца от любых атак, а также вращаться и возвращаться к владельцу как бумеранг.;https://static.wikia.nocookie.net/ladybug/images/3/3f/3e47aa9391b02f37b07794b4aff6dda6.jpg/revision/latest?cb=20201030195550&path-prefix=ru;";"
Квин Би /Леди Пчела;Хлоя Буржуа;Волчок Квин Би;"Оружие Квин Би - Волчок (Тромпо). Волчок представляет собой перевернутый конус с сферической крышкой. Он, в первую очередь, желтого цвета, хотя имеет черную точку на круглом конце и обернут в нескольких диагонально наклонных черных полос. Он имеет белый вращающийся шнур, который оборачивается вокруг пальца владельца. 

Квин Би может превратить тромпо в нечто похожее на жало пчелы и тем самым обездвижить противника, но, как и Талисман Удачи Леди Баг, может использоваться лишь один раз за трансформацию, а так же как средство связи. Ещё Квин Би может использовать его как средство перемещения, как использует своё йо-йо Ледибаг: Квин Би может, например, проехаться на нём.";https://i.pinimg.com/564x/8a/71/70/8a71701a60c8feb22d07c2d04e677dad.jpg;";"
Король Обезьян;Ле Тьен Ким;Посох Короля Обезьян;"Жуи Цзиньгу Бан - инструмент Короля Обезьян в виде посоха, которым тот может сражаться в ближнем бою. Переполох - способность, позволяющая создать некий предмет, который, если им коснуться человека, обладающего сверхъестественными силами, ""взломает"" его способности и нарушит над ними контроль у самого владельца этих умений.";https://static.wikia.nocookie.net/ladybug/images/6/6e/5fTa8vBN3xA.jpg/revision/latest?cb=20190918222600&path-prefix=ru;";"
Леди Баг;Маринет Дюпэн Чэн;Йо-йо Леди Баг;"Леди Баг использует в сражениях йо-йо, которое ей дается при использовании Камня Божьей Коровки. Оно красного цвета с пятью чёрными пятнами на каждой стороне. Когда Ледибаг не использует его, то носит как пояс. Леска йо-йо не имеет границ и её длина зависит от силы воли хозяйки. 

У йо-йо множество функций. Ледибаг использует его как лассо, парашют или щит, а так же с помощью него передвигается по городу. Она может позвонить или посмотреть карту чего-либо, уточнить, где сейчас находится Кот Нуар, узнать краткую информацию о любом человеке или же использовать как бинокль. В корпусе спрятана беспроводная мини-гарнитура. Свет выделяемый йо-йо при вращении настолько пропитан энергией, что может разрезать предметы. В сражениях йо-йо может материализовать разные вещи, используя Талисман Удачи.";https://static.wikia.nocookie.net/ladybug/images/9/9b/%D0%99%D0%BE-%D0%B9%D0%BE.png/revision/latest?cb=20160225104332&path-prefix=ru;";"
Маюра;Натали Санкёр;Веер Маюры;Веер - оружие Маюры. Веер состоит из девятнадцати голубых павлиньих перьев с острыми наконечником. Перья украшены маленькими белыми пёрышками. В сердцевине каждого пера оранжевая точка. Маюра отрывает перо на кончике веера, которое может плавно летать и вселяться в вещь с которой связан человек, и этим самым создавать из отчаяния человека помощника для него.;https://i.pinimg.com/originals/84/df/84/84df84cfda01a7477c0c5fbb17985021.jpg;";"
Нефритовая Черепаха;Ван Фу;Щит Нефритовой Черепахи;Оружие Нефритовой Черепахи - Щит. Щит внешне похож на панцирь черепахи. Он большой и круглый, и кажется довольно плоским. Одна сторона оружия темно-зеленая, в то время как другая светло-зеленая с отступами, идущими от края в центр. Щит может защитить владельца от любых атак, а также вращаться и возвращаться к владельцу как бумеранг.;https://static.wikia.nocookie.net/ladybug/images/3/3f/3e47aa9391b02f37b07794b4aff6dda6.jpg/revision/latest?cb=20201030195550&path-prefix=ru;";"
Пегас;Макс Канте;Бумеранг Пегаса;Оружие Пегаса - Бумеранг. Он такого же темно-кориченевого цвета, как и костюм супергероя, со светящимися лапмпочками, расположенными по длине бумеранга.;https://i.pinimg.com/564x/39/59/e5/3959e52fa209fc0f9ba099addd8680cf.jpg;";"
Пигелла;Роуз Левилён;Бубен Пигеллы;Оружие Пигеллы - Бубен. Он ярко-розовый с белыми узорами. С помощью бубна Пигелла создает подарок - самое большое желание человека.;https://static.wikia.nocookie.net/ladybug/images/0/06/%D0%9F%D0%B8%D0%B3%D0%B5%D0%BB%D0%BB%D0%B0.png/revision/latest?cb=20210506072050&path-prefix=ru;";"
Рена Руж;Алья Сезер;Флейта Рены Руж;Оружие Рены Руж - Флейта. Флейта длинная и, кажется, полностью сделана из тростника. Она оранжевая с белыми полосами, а отверстия располагаются вдоль одной стороны. Когда Рена Руж играет на флейте, на ее конце появляется оранжевый шар энергии. Используя флейту, пользователь может бросить этот шар и на месте попадания шара появляется иллюзия.;https://static.wikia.nocookie.net/ladybug/images/4/4a/%D0%A4%D0%BB%D0%B5%D0%B9%D1%82%D0%B0_%D0%92%D0%BE%D0%BB%D1%8C%D0%BF%D0%B8%D0%BD%D1%8B.jpg/revision/latest?cb=20161006185758&path-prefix=ru;";"
Рюко;Кагами Цуруги;Меч Рюко;Оружием Рюко является Меч. Он красного цвета, с красной рукояткой и символом голубого цвета на ней.;https://static.wikia.nocookie.net/lady-bug/images/d/d3/Dragon_Miraculous%27_Sword_Square.png/revision/latest?cb=20200927162442;";"
Супер Кот/Кот Нуар;Адриан Агрест;Жезл Кота Нуара;"Кот Нуар в качестве оружия использует жезл с хромированной поверхностью с зелёной светящейся кнопкой (похожа на лапу кота) на верхнем конце. Он выдвижной и когда Нуар его не использует, то жезл покоится на его пояснице. 

Он использует свой жезл, зная определенные навыки фехтования и изменению длины своего оружия. Кот Нуар может использовать его как меч, щит, посох или короткую палку. Он также может его метать. Для перемещения на большие расстояния он быстро вращает свой жезл, затем удлиняет его, отталкиваясь от земли и подлетая, а затем снова вращает его. Также с помощью него можно задерживать дыхание под водой. Без него он может передвигаться лапами или когтями, как в эпизоде «Разлучник» и сражаться в рукопашную.";https://static.wikia.nocookie.net/ladybug/images/8/86/Screenshot_1526.png/revision/latest?cb=20160129101044&path-prefix=ru;";"
