;;какого пола?;сколько лет? какой возраст? возраст;расскажи про? ? кто такой?;как выглядит? какая внешность у?;характер? какой характер у? как себя ведет?;кто друзья? с кем общается?;семья? кто родители? расскажи про семью?;что умеет? какие способности у? чем занимается? где учится? кем работает? чем увлекается? какое хобби? увлечения;положительный? отрицательный? добрый? злой?;кого любит? кто нравится?;";"
Адриан Агрест;Адриан Агрест мужского пола;В 1 сезоне Адриану Агресту было 13 лет. Сейчас ему около 16 лет;Адриан Агрест - главный персонаж мультсериала. Он учится в классе мадам Бюстье в коллеже «Франсуа Дюпон». Он также является лицом бренда своего отца. Благодаря своему кольцу, в которое вселяется квами по имени Плагг, он превращается в супергероя Кота Нуара с силой разрушения.;Адриан немного выше Маринетт, он блондин с зелёными глазами.;Адриан харизматичен и в то же время застенчив и слегка скрытен. Ему нравится веселиться, но из-за своего строгого воспитания он более послушный и кажется менее живым. Если что-то делает его грустным, он пытается не заострять на этом внимания, как в отношениях с отцом. Хоть он и не открыт для большинства людей, он дружелюбный и всегда готов помочь своим близким, выпуская свои чувства наружу.;Друзьями Адриана являются большинство его одноклассников, такие как Нино Лейф, Плагг, Алья Сезер, Маринетт Дюпэн-Чэн, Хлоя Буржуа, Сабрина Ренкомпри, Кагами Цуруги, Лука Куффен, Вейхем. При том, лучшим другом Адриана является Нино Лейф, Адриан очень ценит его заботу.;В семью Адриана Агрест входят: Габриэль Агрест (отец), Эмили Агрест (мать);Адриан Агрест учится в классе мадам Бюстье в коллеже «Франсуа Дюпон». Адриан, как модель, знает, в какую выразительную позу нужно встать на фотоссесиях. Он занимается фехтованием, фортепиано, китайским и баскетболом. Адриан свободно говорит по-китайски и спокойно общается с Ван Чэном. Он также хорош в видеоиграх, так как обыграл Макса, но у него меньше опыта по сравнению с Маринетт. Адриан любит круассаны, а так же смотреть Аниме, является поклонником Джаггеда Стоуна, влюблен в Леди Баг;Адриан Агрест на стороне добра;Адриан Агрест влюблен в Леди Баг.;https://i.pinimg.com/564x/00/cd/7b/00cd7b674b6b2a3b059636c94a89aacf.jpg;";"
Аликс Кюбдэль;Аликс Кюбдэль женского пола;В 1 сезоне Аликс Кюбдэль было 13 лет. Сейчас ей около 15-16 лет;Аликс Кюбдэль — студентка коллежа «Франсуа Дюпон». В эпизоде «Времеход» она становится Времеходом — суперзлодеем, путешествующим во времени. У Аликс есть часы - Камень Кролика, с помощью которого она в будущем будет превращаться в супергероя Банникс.;"Аликс Кюбдэль - худощавая девушка невысокого роста, с розовыми растрёпанными волосами и голубыми глазами. Она носит чёрную футболку с длинными рукавами. Аликс также носит чёрные джинсовые капри с розовой строчкой, чёрные носки с двумя горизонтальными розовыми полосками, и чёрные высокие кроссовки с розовыми шнуркам. 
Когда Аликс катается на роликах, она носит чёрный шлем с розовым ремешком и зелёной застёжкой. Её роликовые коньки тёмно-синего цвета, перед пальцами находится чёрная полоса и розовые и зелёный строчки. Колеса серые с зелёным центром и розовыми болтами крепления к чёрной рамке.";Аликс - сорванец. Крутая, упрямая и уверенная в себе, она не боится вызовов или же говорить то, что у неё на уме. В то же время, она может быть доброй и благодарной, как когда её отец передаёт ей часы - семейную реликвию или когда Ледибаг чинит их после поломки. Она может быть эмоциональной и хранить чувство обиды по отношению к другим. После того, как акума побеждена, она понимает свою собственную вину и говорит Ледибаг, что будет более ответственной.;Аликс Кюбдэль дружит с: Джулекой Куффен, Маринетт Дюпэн-Чэн, Роуз Левилён, Милен Апрэль, Альей Сезер.;В семью Аликс Кюбдэль входят: Алим Кубдел (отец), Джалил Кюбдэль (брат);Аликс спортсмена, очень хорошо и быстро катается на роликах.;Аликс Кюбдэль на стороне добра;Информация о том, в кого влюблена Аликс, неизвестна.;https://static.wikia.nocookie.net/ladybug/images/e/ea/Alix_Kubdel_Square.png/revision/latest?cb=20190314153250&path-prefix=ru;";"
Алья Сезер;Алья Сезер женского пола;В 1 сезоне Алье Сезер было 13 лет. Сейчас ей около 15-16 лет;Алья Сезер — лучшая подруга Маринетт и студентка коллежа «Франсуа Дюпон», класс мадам Бюстье. Также она — единственный админ Ледиблога и его создатель. Благодаря камню лисы, в который вселяется Триккс, она превращается в супергероиню Рену Руж с силой иллюзий.;Алья Серез — мулатка среднего роста с золотистыми глазами. Приметы — родинка над правой бровью и осветленные кончики волос.;"Алья очень энергичная и умная, но может настолько чем-то увлечься, что придётся спускать её с небес на землю. Она очень верная, может быть настоящей «поддержкой и опорой», отличная помощница и прикладывает немало сил, чтобы поддержать Маринетт и (иногда буквально) подтолкнуть к отношениям с Адрианом. Её ум и дальновидность были полезны во многих ситуациях. Тщательно наблюдая за Ледибаг и Котом Нуаром в действии, Алья узнала об основах работы супергероя и как уничтожать акуму, чтобы остановить злодея. 

Ей не нравится, когда в ней сомневаются. Особенно когда речь идёт о её работе. Алья целеустремленная, а также отличается повышенным самообладанием и хладнокровностью. Когда её похитил Фараон, Алья продолжала записывать видео и вести прямую трансляцию в одноимённом эпизоде.";Алья общительная девушка, так что все одноклассники ее друзья. Теснее всего она общается с Милен Апрэль, Роуз Левилён, Джулекой Куффен, Аликс Кюбдэль и Маринетт Дюпэн-Чэн, причем последняя является ее лучшей подругой.;В семью Альи Сезер входят: Марлена Сезер (мать), Отис Сезер (отец), Нора Сезер(сестра), Элла Сезер (сестра), Этта Сезер (сестра);Алья легко управляется с техникой. Она следит за школьным блогом и Ледиблогом, с лёгкостью загружает видео, концертные записи и статьи. Она записывает всё на мобильный телефон. Наряду с технологическими навыками, Алья проявляет себя как хороший писатель, когда пишет посты для Ледиблога и сценарий для фильма Нино в «Ужастике». Она отлично справляется с видео, объясняет ситуации, когда это необходимо, и ведёт себя довольно спокойно, когда ситуация становится опасной (например, с Фараоном). Благодаря своей наблюдательности и дальновидности Алья смогла узнать много фактов про Кота Нуара, Ледибаг и злодеев, с которыми те борются.;Алья Сезер на стороне добра;Алья Сезер влюблена в Нино Лейф.;https://static.wikia.nocookie.net/ladybug/images/c/c2/880aaebac446484a0b2598545371d0a0.jpg/revision/latest?cb=20200121201900&path-prefix=ru;";"
Андре Буржуа;Андре Буржуа мужского пола;Возраст Андре Буржуа неизвестен, но, вероятно, ему до 50 лет;Андре Буржуа — мэр Парижа и отец Хлои. В одном из эпизодов попадает под влияние акумы и становится суперзлодеем Маледиктатором - злодеем наделённым абсолютной властью.;У Андре Буржуа тёмно-голубые глаза и седые волосы. Тем не менее, брови его коричневые. Он носит чёрный костюм с белой рубашкой и красным галстуком, чёрные туфли, ленту с цветами флага Франции через правое плечо.;"Андре Буржуа довольно слабовольный человек и всегда потакает дочери. Одним словом, ""тряпка"". Однако в некоторых случаях (правда, под давлением Хлои) он может проявить решительность, как, например, в «Робокоп». Также он несколько трусоват, когда покушаются на его жизнь, и может ""прогнуться"" под давлением злодея. Это видно в эпизоде «Чёрный Рыцарь», когда злодей вызывает его на дуэль, и в «Робокоп», когда он отдаёт злодею пост мэра.";На данный момент неизвестно кто приходится другом Андре Буржуа. Вероятно, самым большим другом он считает свою дочь, Хлою Буржуа.;В семью Андре Буржуа входят: Андре Буржуа женат на Одри Буржуа и является отцом Хлое и Зои Буржуа.;Андре Буржуа - мэр Парижа.;Андре Буржуа на стороне добра;Информация о том, в кого влюблен Андре, неизвестна.;https://static.wikia.nocookie.net/ladybug/images/f/f0/Andr%C3%A9_Bourgeois_Square.png/revision/latest?cb=20190324082354&path-prefix=ru;";"
Ван Фу;Ван Фу мужского пола;Ван Фу 186 лет;Мастер Ван Фу — целитель и старый мастер, который подбросил Маринетт и Адриану их Талисманы, чтобы остановить Бражника. Он владел Камнем Черепахи, который с помощью Вайзза превращал его в супергероя Нефритовую Черепаху.;Мастер Фу низкого роста с карими глазами. Его волосы седые и у него есть усы и бородка. Он носит красную гавайскую рубашку в белый цветок, капри и коричневые ботинки. Мастер будучи молодым имел короткие жёлтые волосы и пухлые щёчки. Носит серое кимоно с чёрным поясом и нечто похожее на чёрные лапти. В руках держит посох с нефритовой сферой на конце.;Фу - добрый, заботливый и щедрый. Он хранит Камни и отдаёт их людям, Которые ставят жизнь вторых превыше своей. Фу старается НЕ лезть в чужие тайны.;Своими друзьями Ван Фу считает Маринетт Дюпэн-Чэн, Адриана Агреста и Марианну Ленуар, которая является его возлюбленной.;Информация о семье Ван Фу неизвестна.;"Ван Фу - целитель и может лечить как людей, так и квами. Один из методов лечения — бить в гонг над пациентом — техника даосских целителей. Именно так он вылечил Тикки в эпизоде ""Принцесса Ароматов"".";Ван Фу на стороне добра;Ван Фу любит Марианну Ленуар.;https://slovnet.ru/wp-content/uploads/2019/05/1-4.png;";"
Габриэль Агрест;Габриэль Агрест мужского пола;Габриэлю Агресту около 40 лет;Габриэль Агрест — отец Адриана Агреста и известный модельер, главный антагонист сериала. Довольно скрытен, почти никогда не выходит из особняка.Он использует Камень Моли и квами Нууру, чтобы трансформироваться в Бражника и создавать акум.;У Габриэля Агреста светлые, зачёсанные назад волосы и тёмно-голубые глаза. Он носит чёрные очки, белый пиджак, красные брюки и полосатый красно-белый галстук, за Которым скрывается его камень чудес.;"Габриэль показан холодным, жёстким и очень строгим человеком. Он очень сильно оберегает своего сына, настолько сильно, что держал Адриана в пределах дома большую часть его жизни. Однако, скорее всего, он ожесточился после потери жены, так как мы часто видим, что на самом деле Габриэль умеет сочувствовать и переживать за своих любимых. Так в серии ""Горизилла"" когда Горизилла выпустил Адриана из рук и тот начал падать с верхушки здания, он приказал отпустить Леди Баг, чтобы та спасла Адриана. В серии "" День героев"" он попытался позаботиться о безопасности своего сына. А в серии ""Маюра"" когда его ассистентка использует поврежденный камень чудес для спасения тайны личности Бражника, он волнуется за её здоровье, и говорит, что не нужно было рисковать так сильно.";Габриэль Агрест больше всего общается с Натали Санкёр, и Лилой Росси.;В семью Габриэля Агреста входят: Адриан Агрест (сын), Эмили Агрест (жена), Амели Грэм де Ванили (свояченица), Феликс Грэм де Ванили (племянник);Габриэль Агрест - модельер. Ему принадлежит бренд Gabriel. Судя по тому, что бренд Gabriel является одним из самых престижных и известных во всём Париже, Габриэль — отличный модельер. Скорее всего, он также имеет предпринимательский талант, помогающий ему грамотно и разумно управлять собственной компанией.;Габриэль Агрест на стороне зла;Габриэль Агрест любит Эмили Агрест.;https://static.wikia.nocookie.net/ladybug/images/c/cc/Gabriel_Agreste_Square.png/revision/latest?cb=20190324084835&path-prefix=ru;";"
Джаггед Стоун;Джаггед Стоун мужского пола;Точный возраст Джаггеда Стоуна неизвестен, но, вероятно, ему около 40 лет;Джаггед Стоун — известная рок-звезда, а также отец Джулеки Куффен и Луки Куффен. С ним всегда его крокодил Клык.;Джаггед Стоун высокий с бледно-зелёными глазами. У него чёрные волосы, с подкрашенными фиолетовым кончиками, чёрная борода, и усы, соединяющиеся с его бородой. Он использует густые, тёмные тени и подводку для глаз. Его одежда включает в себя блестящий, чёрный жакет с жёлтым акцентом и жёлтыми эполетами. Его штаны жёлтые с вертикальными полосками, напоминающие окрас пчелы. Он носит кружевные, чёрные перчатки без пальцев на обоих руках. Его туфли чёрные на каблуке с рисунком на подошве. Вокруг его шеи ожерелье, которое состоит из двух золотых крыльев с подвеской черепа между ними.;"Джаггед Стоун гордый и выразительный. Когда он не на экране или не выступает, он расслабленный и естественный. Но он предпочитает агрессивные вещи, такие, как иметь крокодила в качестве домашнего питомца, и он любит получать много внимания, особенно со стороны его фанатов. 

Ему становится скучно, если ничего не происходит, и он не любит терять внимания. Не очень бережлив, к вещам относится разрушительно, непредсказуем. Может взбеситься от того, что его Клыку предложат принять ванную с мылом, сославшись, что мыло плохо скажется на чешуе, но может спокойно Клыку же скормить планшет.";Близкими друзьями Джаггеда Стоуна являются его питомец Клык, Маринетт Дюпэн-Чэн и Анарка Куффен.;В семью Джаггеда Стоун входят: Анарка Куффен (жена), Лука Куффен (сын), Джулека Куффен (дочь), Мать Джаггеда Стоуна;Джаггед Стоун - медийная персона, гитарист.;Джаггед Стоун на стороне добра;Информация о том, в кого влюблен Джаггед, неизвестна.;https://static.wikia.nocookie.net/ladybug/images/4/41/Jagged_Stone_Square.png/revision/latest?cb=20190315110705&path-prefix=ru;";"
Джулека Куффен;Джулека Куффен женского пола;В 1 сезоне Джулекке Куффен было 13 лет. Сейчас ей около 15-16 лет;"Джулека Куффен — студентка коллежа ""Франсуа Дюпон"". В одном из эпизодов стала жертвой Бражника и превратилась в Рефлекту — злодейку, которая превращает людей в свои копии.";Джулека Куффен высокого роста с карими глазами оранжево-красного оттенка. У неё длинные чёрные волосы до пояса с фиолетовыми кончиками и чёлкой, закрывающей её левый глаз.;"Джулека - эмо. Она робкая и нервная из-за окружающих. Она не часто разговаривает, когда её приходится что то говорить, она кратко отвечает тихим голосом или поворачивает голову к согласию или отказу. Джулека редко выражает свои эмоции, но иногда делает это, когда её вывели из себя.

Вероятно ей нравятся страшные вещи или она не боится их, поскольку она единственная, кто не побоялся Ужастика в одноименном эпизоде. Из-за своей тихой натуры Джулека чувствует, что никто никогда не замечает её, но она знает, что есть люди, которые заботятся о ней, к которым она выражает сочувствие и нежность. Несмотря на свою застенчивость, Джулека может быть смелой и благосклонной по отношению к своим друзьям и ласковой с теми, кто ей дорог.";Джулека дружит со всеми одноклассниками, но лучшей подругой считает Роуз Левилён, о которой она заботится. Также она тесно общается с Маринетт Дюпэн-Чэн, Альей Сезер, Аликс Кюбдэл и Милен Апрэль.;В семью Джулеки Куффен входят: Джаггед Стоун (отец), Анарка Куффен (мать), Лука Куффен (брат);Кажется, Джулека хорошо разбирается в макияже, ведь она была визажистом в короткометражке Нино (эпизод Ужастик). Вероятно она обладает дизайнерскими навыками, поскольку участвует с Роуз в конкурсе Габриэля Агреста в эпизоде Месье Голубь. Также она умеет играть на гитаре.;Джулека Куффен на стороне добра;Информация о том, в кого влюблена Джулекка, неизвестна.;https://static.wikia.nocookie.net/ladybug/images/e/e1/8-4.png/revision/latest?cb=20191209174603&path-prefix=ru;";"
Иван Брюэль;Иван Брюэль мужского пола;В 1 сезоне Ивану Брюэлю было 13 лет. Сейчас ему около 15-16 лет;Иван Брюэль — студент коллежа «Франсуа Дюпон». Его нет на фото класса за предыдущий год, возможно, он новенький, как и Адриан с Альей. В одном из эпизодов становится Каменным сердцем - каменным злодеем, который ломает весь город.;Иван Брюэль - высокий и довольно крепко сложенный парень. У него серо-голубые глаза, чёрные волосы со светло-жёлтой чёлкой и широкие брови. Так же правая бровь прерывается, возможно, это шрам. Обычно он одет в чёрную футболку с двумя белыми перекрещёнными костями и чёрные шорты. У него басистый и одновременно угрюмый голос.;"Иван — здоровяк с добрым сердцем. Однако его легко взбесить, чем обычно и занимается Ким. Не умеет петь, но умеет сочинять стихи. Любимая музыкальная группа - ""Зомби-череполомы"". Также, Иван крайне эмоцианален, легкомыслен.";Друзьями Ивана являются: Милен Апрэль, Джулека Куффен, Лука Куффен, Аликс Кюбдэль, Роуз Левилён, Алья Сезер, Нино Лейф, Маринетт Дюпэн-Чэн, Адриан Агрест.;Информации о семье Ивана Брюэля нет.;Иван любит сочинять стихи.;Иван Брюэль на стороне добра;Иван влюблен в Милен Апрэль.;https://slovnet.ru/wp-content/uploads/2019/07/1-1.png;";"
Кагами Цуруги;Кагами Цуруги женского пола;В 1 сезоне Кагами Цуруги было 13 лет. Сейчас ей около 15-16 лет;Кагами Цуруги — новая ученица коллежа «Франсуа Дюпон», являющаяся соперницей Адриана по фехтованию. Кагами три раза становилась злодеем. Это Рипост, Они-чан и Ложь. В одном из эпизодов Кагами, получив Камень Дракона, становится супергероем Рюко с силой обращения в три стихии.;Кагами Цуруги — японка с карими глазами, светлой кожей и короткими темно - синими бликами. На её щеках под глазами есть веснушки.;Кагами - строгая и вдумчивая и японка, которая стремится выполнить любое взятое обязательство, кроме того она может быть довольно упрямой. Она не любит проигрывать из-за своего соревновательного характера, она преуменьшает свои расстроенные чувства и уважает своих соперников. Однако Кагами очень гостеприимный и целеустремлённый человек, который учится на своих ошибках. У Кагами также есть привычка делать поспешные выводы, она может быть довольно эмоциональной и склонной к ярости.;Своими друзьями Кагами считает Адриана Агреста, Маринетт Дюпэн-Чэн и Лонгга.;В семью Кагами Цуруги входят: Томоэ Цуруги (меть);Кагами — искусная фехтовальщица.;Кагами Цуруги на стороне добра;Кагами ранее была влюблена в Адриана Агреста, однако, теперь, информация о том, кто нравится Кагами, неизвестна.;https://static.wikia.nocookie.net/ladybug/images/6/66/Kagami_Tsurugi_Square.png/revision/latest?cb=20190324084924&path-prefix=ru;";"
Ле Тьен Ким;Ле Тьен Ким мужского пола;В 1 сезоне Ле Тьен Киму было 13 лет. Сейчас ему около 15-16 лет;Ле Тьен Ким — студент коллежа «Франсуа Дюпон». Спортсмен.;Ле Тьен Ким- высокий и спортивный парень с оливковое кожей, темно-каштановымы волосами, желтой чёлкой и тёмно-карими глазами.;"Ким — король соревнований. Любит ""брать на слабо"", что раздражает его одноклассников, которые обращаются за помощью к Аликс. Он очень уверен в себе и в своих спортивных способностях, так что большинство его вызовов связаны со спортом. 

Ким также большой фанат американского футбола и он часто ссылается на него, пытаясь понять что-то лучше. Он казалось бы смелый, однако очень боится пауков. Несмотря на то, что он иногда вспыльчивый и грубый, Ким добрый, ведь он оценил поддержку Маринетт, которая посоветовала ему признаться в любви его избраннице в эпизоде «Разлучник». Хотя она и не знала, что это Хлоя.";Ле Тьен Ким считает своими друзьями Макса Канте и Сюйппу.;Информация о том, кто входит в состав семьи Ле Тьен Кима, неизвестна;Ле Тьен Ким спортсмен, является большим фанатом американского футбола. Ким очень быстрый бегун, так как в гонке он, большую часть времени, не отставал от Аликс, которая была на роликах.;Ле Тьен Ким на стороне добра;Ранее Ле Тьен Ким был влюблен в Хлои Буржуа.;https://static.wikia.nocookie.net/ladybug/images/f/fd/L%C3%AA_Chi%E1%BA%BFn_Kim_Square.png/revision/latest?cb=20190315031751&path-prefix=ru;";"
Лила Росси ;Лила Росси женского пола;Лиле Росси около 15-16 лет;Лила Росси — ученица коллежа «Франсуа Дюпон» и второстепенный антагонист. Прибыла из Италии.;Лила Росси— итальянка среднего роста с загорелой кожей и оливково-зелёными глазами. У неё длинные каштановые волосы с прямой чёлкой, перевязанные оранжевой резинкой и две короткие пряди по бокам от лица, также перевязанные резинками. На правой руке Лила носит три браслета из ткани. Они яркие и имеют зигзагообразный узор, который разделяет цвета. Она носит коралловый кожаный жакет поверх тёмно-серого ромпера с V-образным вырезом и маленькими белыми точками. На ногах у неё светло-серые леггинсы и коричневые ботинки.;"Лила хитрая, гордая, общительная и лицемерная девушка, которая с лёгкостью заводит новые знакомства. Она любит внимание, которое иногда привлекает ложью. Девушка продолжает врать, даже если дело заходит уже дальше слов. Ей не нравится, когда кто-то получает больше внимания и признания, чем она, и не любит, когда кто-то раскрывает, что её ложь — неправда. Но в душе она довольно чувствительная, это видно, когда она плакала от стыда и обиды. 

Она очень популярная, о ней говорил весь коллеж, она привыкла, что всё внимание уделяется ей. Лила злопамятная, так как после очищения акумы она не простила Ледибаг, и, даже после мирной беседы с ней, в глубине души она жаждала мести.";Лила Росси считает своим другом Адриана Агреста, ранее непродолжительно общалась с Альей Сезер.;В семью Лила Росси входят: Мадам Росси (мать);"Лила - профессиональная лгунья, чем пользуется для повышения школьной репутации, достижения целей и завоевания сердца Адриана. Иногда она допускает ошибки, из-за чего тайное становится явным. Её жизнь такая же как и у её одноклассников (не считая Адриана и Хлои, которые богаты), но она ложью доказывает, что она ""крутая и богатая"" ради того чтобы привлекать к себе внимание одноклассников и Адриана (хотя он знает что Лила лгунья). В определённых ситуациях Лила пытается показывать себя как ""милую и не в чём не повинную девушку"" (в отличии от Хлои, которая во всю показывает себя ""наглой"" и ""дерзкой"", и при этом всём возвышая себя над другими).";Лила Росси на стороне зла;Лиле Росси нравится Адриан Агрест.;https://static.wikia.nocookie.net/ladybug/images/a/af/Lila_Rossi_Square.png/revision/latest?cb=20190315174331&path-prefix=ru;";"
Лука Куффен;Лука Куффен мужского пола;Луке Куффен около 17-18 лет;"Лука Куффен — старший брат Джулеки Куффен и сын Анарки Куффен и Джаггеда Стоуна, гитарист группы ""Банда Котят"", а также новый студент коллежа «Франсуа Дюпон», которым Маринетт интересуется. В эпизоде «Десперада» после неправильного выбора владельца Камня Чудес Ледибаг, благодаря Адриану получает Камень Змеи. C помощью браслета, в который вселяется квами по имени Сасс, он превращается в Вайпериона — супергероя со змеиной тематикой.";Лука Куффен— высокий, стройный и привлекательный подросток со светлой кожей. У него римский нос, бледно-розовые губы, светло-голубые глаза цвета морской волны и черные волосы средней длины с выкрашенными в бирюзовый цвет кончиками.;Лука игривый, обаятельный и кокетливый. Он читает эмоции людей и выражает их через музыку с помощью гитары. Парень очень добр и щедр, особенно по отношению к своим друзьям и семье, но также и к людям, которых он только что встретил, когда он подбадривает Маринетт после неожиданной встречи с ней.;Друзья Луки: Маринетт Дюпэн-Чэн, Джулека Куффен, Роуз Левилён, Милен Апрэль, Иван Брюэль, Адриан Агрест, Алья Сезер, Нино Лейф, Сасс.;В семью Лука Куффен входят: Джулека Куффен (сестра), Анарка Куффен (мать), Джаггед Стоун (отец);Лука отлично играет на своей гитаре и других музыкальных инструментах. Он особенно хорош в создании мелодий через эмоции людей. Как говорит парень, он играет на гитаре с детства. В эпизоде «Фрозер» Лука хорошо катается на коньках, а также он довольно-таки силён, раз смог поднять Маринетт при катке с лёгкостью.;Лука Куффен на стороне добра;Лука Куффен влюблен в Маринетт Дюпэн-Чэн;https://static.wikia.nocookie.net/ladybug/images/1/1b/Luka_Couffaine_Square.png/revision/latest?cb=20190324044943&path-prefix=ru;";"
Макс Канте;Макс Канте мужского пола;В 1 сезоне Максу Канте было 13 лет. Сейчас ему около 15-16 лет;Макс Канте — студент коллежа «Франсуа Дюпон». В одном из эпизодов попадает под влияние Бражника и превращается в злодея, который может контролировать огромного боевого робота, изменяющегося по уровням. В эпизоде «Стартрейн» получает Камень Лошади и становится супергероем Пегасом. Создал робота Маркова, который является его лучшим другом.;Макс Канте— невысокий темнокожий парень с кудрявыми каштановыми волосами и карими глазами. Он носит прямоугольные очки в тёмной оправе, светло-зеленую рубашку поло и коричневые клетчатые джинсы. Он также имеет подтяжки с бежевыми линиями между двумя коричневыми и серебряными пряжками, а также серо-голубые кроссовки и голубые часы на правом запястье.;Макс — геймер и любитель технологий. Он умный, особенно хорошо разбирается в математике. Парень рассчитал, с какой скоростью должен бежать Ким, чтобы тот успел столкнуться с Хлоей в эпизоде «Разлучник».;Друзья Макса: Ле Тьен Ким, Марков (его робот), Каалки. А также Маринетт Дюпэн-Чэн, Джулека Куффен, Роуз Левилён, Милен Апрэль, Иван Брюэль, Адриан Агрест, Алья Сезер, Нино Лейф,;В семью Макс Канте входят: Клоди Канте (мать);Макс любит видеоигры, увлекается наукой и технологиями. Хорошо разбирается в математике, даже создал робота.;Макс Канте на стороне добра;Информация о том, в кого влюблен Макс Канте, неизвестна;https://static.wikia.nocookie.net/ladybug/images/7/79/Max_Kant%C3%A9_Square.png/revision/latest?cb=20190315093308&path-prefix=ru;";"
